Strategy,Ticker,Sharpe,Return,Value_s,Value_e,SLVL_mean,Stop count
FixedSL_1.90,PCAR,0.9159446662656776,66.75314013668286,522.0796585083008,870.5842245774621,1.9000000000000004,7
TrailingSL_1.90,PCAR,1.3555863563946906,31.10464545577216,522.0796585083008,684.4706852840138,1.9000000000000004,66
DRL,CTAS,0.4507375109445417,21.612716367040985,4320.687255859375,5254.505137575148,1.652485089463221,68
B&H,CTAS,0.835796816073603,40.586786304087276,4320.687255859375,6074.315359262952,,0
FixedSL_0.10,CTAS,0.9763842989785229,42.356157711327654,4320.687255859375,6150.764364164407,0.1,26
TrailingSL_0.10,CTAS,1.4188308189442924,28.635481597373147,4320.687255859375,5557.936859891033,0.1,254
FixedSL_0.30,CTAS,0.8858835381080274,39.48244361797484,4320.687255859375,6026.600165563077,0.30000000000000004,27
TrailingSL_0.30,CTAS,0.43673717574051685,12.094424622105127,4320.687255859375,4843.24951917619,0.30000000000000004,237
FixedSL_0.50,CTAS,0.8080162405263369,37.218800948470296,4320.687255859375,5928.7952452235995,0.5000000000000001,28
TrailingSL_0.50,CTAS,0.11399443502076893,1.7936887984816963,4320.687255859375,4398.186939185151,0.5000000000000001,218
FixedSL_0.70,CTAS,0.948798824028847,41.61017820113337,4320.687255859375,6118.53292253612,0.7000000000000001,20
TrailingSL_0.70,CTAS,0.03330389352136376,-4.422163212697184,4320.687255859375,4129.6194134950665,0.7000000000000001,191
FixedSL_0.90,CTAS,0.9150280728823493,40.44532355196579,4320.687255859375,6068.2031961602515,0.9000000000000001,19
TrailingSL_0.90,CTAS,0.2050657110676844,7.021329464212345,4320.687255859375,4624.056943211497,0.9000000000000001,150
FixedSL_1.10,CTAS,0.8127442203304072,36.73266718049639,4320.687255859375,5907.790925464322,1.1000000000000003,19
TrailingSL_1.10,CTAS,0.2946953185906008,12.768348145123088,4320.687255859375,4872.367646949465,1.1000000000000003,131
FixedSL_1.30,CTAS,0.6534900878234928,30.72863518052298,4320.687255859375,5648.375480003751,1.3000000000000003,20
TrailingSL_1.30,CTAS,0.2006229557356304,6.6734142555821885,4320.687255859375,4609.0246151310175,1.3000000000000003,112
FixedSL_1.50,CTAS,0.7099364408105652,33.37198614393715,4320.687255859375,5762.586408207624,1.5000000000000004,15
TrailingSL_1.50,CTAS,0.11862590825703613,1.8192969724178054,4320.687255859375,4399.293388292866,1.5000000000000004,96
FixedSL_1.70,CTAS,0.7291345505002773,34.63714752464695,4320.687255859375,5817.250074750007,1.7000000000000004,13
TrailingSL_1.70,CTAS,0.4939381849525361,20.71597728493537,4320.687255859375,5215.7598463363,1.7000000000000004,74
FixedSL_1.90,CTAS,0.4557851984571503,20.96181962223771,4320.687255859375,5226.381924873629,1.9000000000000004,17
TrailingSL_1.90,CTAS,0.508245720931192,22.884928131028204,4320.687255859375,5309.473429129288,1.9000000000000004,63
DRL,PAYX,-0.2632760985142313,-8.456855899463244,1273.9385223388672,1166.2033772569177,1.6159045725646124,76
B&H,PAYX,0.09761909302224138,1.3750997529387021,1273.9385223388672,1291.45644781214,,0
FixedSL_0.10,PAYX,-0.38604889815185467,-20.457197831091534,1273.9385223388672,1013.3263985775209,0.1,50
TrailingSL_0.10,PAYX,-0.42041024884361294,-14.793312723014552,1273.9385223388672,1085.480812830328,0.1,257
FixedSL_0.30,PAYX,-0.2392545481236388,-11.339143136108042,1273.9385223388672,1129.4848098248433,0.30000000000000004,31
TrailingSL_0.30,PAYX,0.5490955881518109,10.418863391307664,1273.9385223388672,1406.6684366705972,0.30000000000000004,243
FixedSL_0.50,PAYX,-0.13879768541096849,-7.336000391248964,1273.9385223388672,1180.4823873558166,0.5000000000000001,21
TrailingSL_0.50,PAYX,-0.9566336772001479,-17.678885599811856,1273.9385223388672,1048.7203883626453,0.5000000000000001,219
FixedSL_0.70,PAYX,0.1844758174065975,3.344284793966379,1273.9385223388672,1316.542654625926,0.7000000000000001,9
TrailingSL_0.70,PAYX,-0.8165699909434713,-13.612874677626118,1273.9385223388672,1100.518867822875,0.7000000000000001,189
FixedSL_0.90,PAYX,0.16915030196311526,3.0748282056122456,1273.9385223388672,1313.1099433459026,0.9000000000000001,8
TrailingSL_0.90,PAYX,-0.753703935135355,-22.654251892163213,1273.9385223388672,985.3372805369183,0.9000000000000001,171
FixedSL_1.10,PAYX,-0.2503093220946238,-13.762725310121404,1273.9385223388672,1098.6098628895493,1.1000000000000003,22
TrailingSL_1.10,PAYX,-0.7235582277564304,-20.35299988437248,1273.9385223388672,1014.6538163602611,1.1000000000000003,142
FixedSL_1.30,PAYX,-0.2209543435774718,-13.167758716032695,1273.9385223388672,1106.1893715266929,1.3000000000000003,19
TrailingSL_1.30,PAYX,-0.44566980947699336,-18.261509980562007,1273.9385223388672,1041.2981119357307,1.3000000000000003,128
FixedSL_1.50,PAYX,-0.30871891392980005,-16.71980727242722,1273.9385223388672,1060.9384566346014,1.5000000000000004,20
TrailingSL_1.50,PAYX,-0.37081419991806125,-19.71359054150875,1273.9385223388672,1022.7994982944359,1.5000000000000004,104
FixedSL_1.70,PAYX,-0.33234368828047445,-17.216302386686266,1273.9385223388672,1054.613414112525,1.7000000000000004,18
TrailingSL_1.70,PAYX,-0.47154867821778707,-8.867657649625226,1273.9385223388672,1160.970015511162,1.7000000000000004,85
FixedSL_1.90,PAYX,-0.34802726113625415,-16.739400910952217,1273.9385223388672,1060.6888457255036,1.9000000000000004,17
TrailingSL_1.90,PAYX,0.008930371448778205,-0.7263349017187282,1273.9385223388672,1264.6854622246801,1.9000000000000004,68
DRL,LRCX,0.9769118332938549,120.40412967651663,7031.3275146484375,15497.336213366338,1.2797216699801195,136
